"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 18:01:33 GMT 2023","Tue Nov 14 18:01:33 GMT 2023","117","","Automation testing of the MoJ website login: Validate that errors are present when the user inserts incorrect details","","","","When I input the username ""testUser""",""
"passed","Tue Nov 14 18:01:30 GMT 2023","Tue Nov 14 18:01:31 GMT 2023","1171","","Automation testing of the MoJ website login: Validate user can successfully login to the site","","","","Given I navigate to the MoJ login page",""
"passed","Tue Nov 14 18:01:36 GMT 2023","Tue Nov 14 18:01:36 GMT 2023","106","","Automation testing of the MoJ website login: Validate that errors are present when the user does not insert all the necessary parameters","","","","When I input the username ""testUser""",""
"passed","Tue Nov 14 18:01:33 GMT 2023","Tue Nov 14 18:01:33 GMT 2023","445","","Automation testing of the MoJ website login: Validate that errors are present when the user inserts incorrect details","","","","Given I navigate to the MoJ login page",""
"passed","Tue Nov 14 18:01:34 GMT 2023","Tue Nov 14 18:01:34 GMT 2023","1","","Automation testing of the MoJ website login: Validate that errors are present when the user inserts incorrect details","","","","",""
"passed","Tue Nov 14 18:01:36 GMT 2023","Tue Nov 14 18:01:37 GMT 2023","470","","Automation testing of the MoJ website login: Validate that errors are present when the user does not insert all the necessary parameters","","","","Given I navigate to the MoJ login page",""
"passed","Tue Nov 14 18:01:33 GMT 2023","Tue Nov 14 18:01:33 GMT 2023","41","","Automation testing of the MoJ website login: Validate user can successfully login to the site","","","","Then I expect to be logged in and receive the text ""Pre-employment checks"" to be visible",""
"passed","Tue Nov 14 18:01:37 GMT 2023","Tue Nov 14 18:01:37 GMT 2023","0","","Automation testing of the MoJ website login: Validate that errors are present when the user does not insert all the necessary parameters","","","","",""
"passed","Tue Nov 14 18:01:37 GMT 2023","Tue Nov 14 18:01:37 GMT 2023","105","","Automation testing of the MoJ website login: Validate that errors are present when the user does not insert all the necessary parameters","","","","And I input the password ""testPassword""",""
"passed","Tue Nov 14 18:01:33 GMT 2023","Tue Nov 14 18:01:34 GMT 2023","795","","Automation testing of the MoJ website login: Validate that errors are present when the user inserts incorrect details","","","","And I click the Login button",""
"passed","Tue Nov 14 18:01:37 GMT 2023","Tue Nov 14 18:01:37 GMT 2023","115","","Automation testing of the MoJ website login: Validate that errors are present when the user does not insert all the necessary parameters","","","","When I input the username """"",""
"passed","Tue Nov 14 18:01:37 GMT 2023","Tue Nov 14 18:01:37 GMT 2023","60","","Automation testing of the MoJ website login: Validate that errors are present when the user does not insert all the necessary parameters","","","","Then I expect not to be logged in",""
"passed","Tue Nov 14 18:01:37 GMT 2023","Tue Nov 14 18:01:37 GMT 2023","68","","Automation testing of the MoJ website login: Validate that errors are present when the user does not insert all the necessary parameters","","","","And I click the Login button",""
"passed","Tue Nov 14 18:01:31 GMT 2023","Tue Nov 14 18:01:31 GMT 2023","123","","Automation testing of the MoJ website login: Validate user can successfully login to the site","","","","And I input the password ""ibnk237SEAHR!""",""
"passed","Tue Nov 14 18:01:33 GMT 2023","Tue Nov 14 18:01:33 GMT 2023","121","","Automation testing of the MoJ website login: Validate that errors are present when the user inserts incorrect details","","","","And I input the password ""testPassword""",""
"passed","Tue Nov 14 18:01:31 GMT 2023","Tue Nov 14 18:01:33 GMT 2023","1169","","Automation testing of the MoJ website login: Validate user can successfully login to the site","","","","And I click the Login button",""
"passed","Tue Nov 14 18:01:33 GMT 2023","Tue Nov 14 18:01:33 GMT 2023","1","","Automation testing of the MoJ website login: Validate user can successfully login to the site","","","","",""
"passed","Tue Nov 14 18:01:36 GMT 2023","Tue Nov 14 18:01:36 GMT 2023","136","","Automation testing of the MoJ website login: Validate that errors are present when the user does not insert all the necessary parameters","","","","And I input the password """"",""
"passed","Tue Nov 14 18:01:34 GMT 2023","Tue Nov 14 18:01:34 GMT 2023","104","","Automation testing of the MoJ website login: Validate that errors are present when the user inserts incorrect details","","","","Then I expect to receive the error message ""Login Failed""",""
"passed","Tue Nov 14 18:01:31 GMT 2023","Tue Nov 14 18:01:31 GMT 2023","391","","Automation testing of the MoJ website login: Validate user can successfully login to the site","","","","When I input the username ""mojTechnicalTest20231114@outlook.com""",""
